Smiles,ACT_CDK5
CC(C)n1c(=O)ccc2c1nc(nc2)Nc3ccc(cc3)OC,0.010
CCn1c(=O)ccc2c1nc(nc2)Nc3ccc(c(c3)OC)OC,0.030
CCn1c(=O)ccc2c1nc(nc2)Nc3ccc(cc3)F,0.053
CCC(CC)n1c(=O)ccc2c1nc(nc2)Nc3ccccc3,0.009
CC(C)n1c(=O)ccc2c1nc(nc2)Nc3ccc(cc3)O,0.015
Cn1c(=O)ccc2c1nc(nc2)Nc3ccccc3,0.089
Cn1c(=O)ccc2c1nc(nc2)Nc3ccccc3,0.255
CC(C)n1c(=O)ccc2c1nc(nc2)Nc3cccc(c3)N(=O)=O,0.021
CC(C)n1c(=O)ccc2c1nc(nc2)Nc3cccc(c3)N(=O)=O,0.052
c1ccc(cc1)Nc2ncc3ccc(=O)[nH]c3n2,1.430
CCCCn1c(=O)ccc2c1nc(nc2)Nc3ccccc3,0.087
Cc1cc(ccc1Cl)Nc2ncc3ccc(=O)n(c3n2)C(C)C,0.038
CC(C)n1c(=O)ccc2c1nc(nc2)Nc3cc(c(c(c3)OC)OC)OC,0.170
CCCn1c(=O)ccc2c1nc(nc2)Nc3ccc(cc3F)F,0.648
CCC(CC)n1c(=O)ccc2c1nc(nc2)Nc3ccc(c(c3)F)F,0.026
CCCn1c(=O)ccc2c1nc(nc2)Nc3cccc(c3)I,0.057
CCCCn1c(=O)ccc2c1nc(nc2)Nc3ccc(c(c3)F)OC,0.150
CCCCn1c(=O)ccc2c1nc(nc2)Nc3cc(c(c(c3)OC)OC)OC,0.200
CCC(CC)n1c(=O)ccc2c1nc(nc2)Nc3ccc(c(c3)F)C,0.063
CCC(CC)n1c(=O)ccc2c1nc(nc2)Nc3ccc(c(c3)C)Cl,0.016
CCCn1c(=O)ccc2c1nc(nc2)Nc3cc(c(c(c3)F)F)F,0.180
CCCCn1c(=O)ccc2c1nc(nc2)Nc3ccc(cc3)C(=O)N,0.234
Cn1c(=O)ccc2c1nc(nc2)Nc3ccc(c(c3)Cl)O,2.200
